categories,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
Comedy,17,10,11,18,17,15,24,22,22,15,11,18,17,17,35,30,45,25,25,31,37,35,36,68,76,50,83,33,57,71,56,45,28,49,45,44,60,53,41,24,43,42,32,44,35,65,34,35
Education,16,19,82,34,25,24,15,26,20,17,43,18,29,45,46,37,34,45,39,41,41,62,48,27,26,43,73,53,50,85,41,76,43,51,67,51,64,61,109,68,78,56,65,54,62,120,74,67
Entertainment,55,67,79,75,90,81,71,63,63,103,77,89,106,99,121,112,196,161,222,203,186,206,248,185,235,197,374,279,326,279,316,254,217,290,272,228,489,335,408,249,322,410,348,355,417,2759,652,397
News & Politics,44,54,96,109,81,92,84,113,107,144,111,115,143,221,254,232,239,168,179,260,326,352,309,299,411,307,523,275,352,315,314,335,318,492,399,486,686,587,631,516,541,463,399,414,755,2616,645,443
Nonprofits & Activism,20,17,29,28,42,38,79,45,55,55,46,55,40,80,35,33,55,52,58,40,46,73,64,80,87,38,70,39,46,41,33,33,30,116,66,80,85,45,91,45,64,64,73,45,47,75,58,71
People & Blogs,41,39,53,45,33,44,52,68,70,74,69,64,90,80,106,90,93,90,119,124,116,141,161,189,264,232,214,197,160,161,143,123,121,176,147,135,214,147,200,192,182,157,137,139,184,505,328,137
