categories,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
Education,22,28,17,14,13,7,12,5,15,11,10,20,4,14,8,1,4,4,3,2,5,2,2,2,4,1,10,2,4,1,3,6,1,3,3,2,7,2,3,3,13,5,4,12,1,10,4,11
Entertainment,59,64,48,73,40,10,14,7,8,5,5,7,8,22,10,6,5,1,12,11,26,7,10,5,4,7,12,4,10,7,4,8,4,8,7,11,13,5,10,6,11,5,10,8,13,5,8,4
Gaming,11,8,12,13,35,46,26,24,12,8,3,6,2,7,5,9,26,5,5,16,6,4,7,27,5,10,5,10,11,8,7,2,6,2,2,10,20,9,3,10,6,10,3,4,5,11,14,23
News & Politics,135,147,95,49,60,50,54,46,26,32,28,38,50,26,38,22,19,15,18,8,19,7,18,22,11,47,14,7,40,7,12,4,4,7,20,8,5,7,11,22,204,45,23,102,42,63,88,56
People & Blogs,31,15,14,14,5,12,9,6,12,8,2,5,6,7,5,4,3,4,67,23,8,7,18,6,7,6,9,4,11,3,7,4,3,7,8,4,3,5,5,4,13,3,5,3,10,4,12,11
Travel & Events,2,8,2,0,1,1,1,1,2,1,107,47,6,0,1,0,10,0,3,1,2,1,25,32,36,26,22,21,48,52,67,96,22,8,4,71,29,35,36,22,14,101,54,35,22,8,26,39
