categories,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
Education,26,1045,29,15,24,20,20,22,33,28,33,25,39,26,49,53,52,57,66,57,77,68,49,76,96,98,109,117,144,103,81,99,95,107,152,122,155,147,153,237,197,141,192,278,263,233,260,210
Entertainment,4,4,16,17,8,11,6,9,14,8,11,5,11,11,10,10,6,19,12,10,8,10,28,9,25,12,24,29,29,13,18,28,26,40,32,67,59,42,36,40,50,52,64,30,42,48,31,36
Gaming,4,5,13,11,10,9,30,13,50,42,38,37,18,9,10,18,10,15,20,20,40,28,41,35,28,31,23,19,19,14,16,36,16,18,28,26,32,24,36,48,152,34,42,25,30,23,20,24
News & Politics,10,15,12,10,20,19,25,17,21,16,17,15,15,18,36,24,37,45,24,24,29,39,29,41,43,32,61,60,50,55,65,60,76,62,100,78,102,97,109,114,127,79,78,87,79,98,93,91
Science & Technology,30,21,34,22,40,29,85,55,45,68,51,83,34,34,61,68,63,320,123,143,128,179,111,113,188,151,241,171,263,235,282,351,425,401,336,350,408,289,471,318,610,431,851,410,420,592,459,383
