categories,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
Education,16,30,19,14,13,21,19,33,26,15,35,32,29,33,43,77,59,57,55,50,46,37,47,76,82,72,128,122,229,333,371,479,621,789,993,1220,1438,1223,1139,1080,1081,1079,992,1217,1031,1046,927,862
Entertainment,38,27,31,20,15,17,34,24,19,30,27,21,18,39,48,37,42,77,74,48,37,38,41,53,61,36,81,74,159,203,179,176,200,227,242,500,492,386,360,292,274,284,350,325,385,382,396,349
News & Politics,70,61,85,71,77,61,75,67,51,63,79,120,131,89,92,86,120,132,152,169,143,142,140,175,237,216,304,231,414,408,435,521,520,481,690,1468,1516,1236,1148,1060,896,729,710,627,559,477,548,398
People & Blogs,4,6,22,9,9,7,16,113,48,16,36,16,48,17,16,131,16,58,185,67,50,50,67,64,93,117,119,154,339,497,559,595,667,788,1054,1274,1402,1242,1143,1157,1103,998,980,873,773,864,726,682
Science & Technology,25,130,20,12,34,25,38,30,20,18,31,66,32,37,46,50,62,70,54,53,78,97,115,73,80,100,136,125,267,318,424,603,647,651,918,1346,1588,1341,1338,1113,1183,1131,1143,1149,1038,1151,1138,1224
