categories,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
Education,1,9,11,3,3,6,1,1,4,2,3,1,1,4,8,8,9,4,8,3,12,2,4,1,1,4,3,4,5,5,4,3,2,5,1,2,3,0,0,2,1,2,6,3,10,3,5,3
Entertainment,1,7,5,4,5,4,2,2,10,5,7,8,45,70,8,11,21,3,5,6,6,6,6,4,10,4,5,5,9,4,4,4,16,6,5,1,8,9,6,3,3,3,3,5,14,5,5,5
News & Politics,107,70,48,58,83,67,34,40,47,85,81,98,73,200,132,83,84,65,34,42,63,36,25,34,46,25,51,30,44,40,34,36,42,23,36,30,42,32,43,52,26,25,23,51,66,35,63,29
People & Blogs,17,8,13,10,12,9,11,15,15,9,5,8,8,11,14,11,14,13,9,13,14,15,17,17,19,8,8,15,12,12,10,13,11,9,9,6,8,10,4,8,6,4,10,6,10,5,8,8
